,stockname,avg_profit,num_trades
0,JPASSOCIAT,1.927283130477633,2478
1,GMRINFRA,0.8337397293887856,2043
2,SUZLON,0.4543584748414568,1678
3,IBREALEST,13.17655465533847,3542
4,RELCAPITAL,29.4755407135683,4268
5,DLF,7.674082680855351,3651
6,IDFC,1.489194240027238,2065
7,SOUTHBANK,0.8561896367419066,2534
8,IDFCBANK,2.213201999541796,1271
9,BANKBARODA,5.899379010385744,2337
10,MANAPPURAM,4.202556472217605,2985
11,HINDALCO,6.528924909488095,3535
12,TATASTEEL,17.86814856106426,3810
13,JINDALSTEL,6.801838913702008,3492
14,RCOM,1.3527744321387931,2239
15,HDIL,3.447086504755898,2717
16,L_TFH,5.677342873417593,4512
17,NMDC,3.7828642933231555,1848
18,ADANIPOWER,1.1699631470836613,2465
19,HCC,1.18403711032409,1556
20,ICICIBANK,7.6768101856984305,3125
21,SUNTV,36.89680970160994,3133
22,RELINFRA,13.192805918928528,3440
23,PNB,6.635552149367128,2749
24,JSWSTEEL,6.7038373999073455,3202
25,APOLLOTYRE,10.099442843696556,3043
26,MOTHERSUMI,11.264216925603458,3759
27,RECLTD,7.366027798772951,3202
28,ONGC,2.399948350717535,1277
29,RPOWER,0.8168711728435888,2256
30,IDEA,6.803351204641607,2299
31,JSWENERGY,1.6859255884793578,2292
32,IFCI,1.0598414605848663,1740
33,DHFL,17.939085964738474,4157
34,TV18BRDCST,1.132408860890427,2290
35,CANBK,11.972780201146943,3044
36,BANKINDIA,8.707422753410526,2909
37,ORIENTBANK,6.211476456308443,2894
38,PFC,3.8427683228197616,2655
39,EXIDEIND,5.628650695267884,2814
40,NCC,2.943904909794948,2329
41,KTKBANK,5.473905231997055,3222
42,BHARATFIN,35.20108090680361,3342
43,M_MFIN,15.530690438122036,3317
44,GRASIM,40.34041427351563,3696
45,NATIONALUM,2.499891471591312,2195
46,AXISBANK,9.14636241094822,3254
47,UNIONBANK,6.123599289296172,2784
48,AUROPHARMA,25.464801375606545,2546
49,INFIBEAM,63.215808359158956,3294
50,BEL,11.87121812663521,2826
51,FORTIS,7.103849154764743,1875
52,ALBK,2.8707781405714994,2758
53,HINDPETRO,22.383990811840043,2929
54,MRPL,5.19047134202662,2611
55,TATAPOWER,1.5839733867167092,2300
56,PTC,3.69545938123593,3328
57,NHPC,0.8022211415637974,1646
58,NTPC,2.7720885261307453,2431
59,IOC,17.445729400974276,2677
60,BPCL,20.201095463971832,2831
61,INFY,20.366236587524284,2733
62,RELIANCE,61.74000070630029,3135
63,DISHTV,3.069405045906563,2504
64,JUSTDIAL,32.21866424854287,2192
65,ITC,8.77871774533073,3033
66,SYNDIBANK,3.0797419850929884,2430
67,TATAMTRDVR,6.211197620235109,1594
68,CESC,35.56930439974713,3559
69,GAIL,12.011369465821566,3202
70,JISLJALEQS,3.531382500507573,2701
71,COALINDIA,4.913887608965309,1322
72,PCJEWELLER,23.591668301475238,3052
73,ANDHRABANK,2.266799135847165,2492
74,CGPOWER,10.799484556500145,2421
75,POWERGRID,3.6561215291432214,3063
76,GSFC,5.125435698829356,3133
77,AMBUJACEM,6.964706952635823,3645
78,ADANIPORTS,10.49661301321501,3531
79,SREINFRA,5.254003959848021,3148
80,EQUITAS,6.363878347334008,2339
81,IRB,5.87272497497977,2594
82,DCBBANK,6.576696103979513,3876
83,YESBANK,50.20668895899732,3804
84,TVSMOTOR,13.727326505604589,4540
85,RDEL,1.9852806736460347,2203
86,KOTAKBANK,17.751665303922643,4436
87,SRTRANSFIN,26.67815059950019,2557
88,UJJIVAN,19.265209900720922,2301
89,PETRONET,9.774650972790324,3178
90,BALRAMCHIN,4.534843271119415,3221
91,BHARTIARTL,12.456442932962748,3155
92,HDFCBANK,31.309062276114002,4805
