,stockname,avg_profit,num_trades
0,JPASSOCIAT,0.7716202581091175,3289
1,GMRINFRA,0.47463910466992115,1962
2,SUZLON,0.3467347231421724,1848
3,IBREALEST,4.570731799996234,6207
4,RELCAPITAL,11.46599371514712,6986
5,DLF,3.179386410556422,6205
6,IDFC,0.7335677755557938,3467
7,SOUTHBANK,0.315540906784772,2398
8,IDFCBANK,0.8803160417184567,2535
9,BANKBARODA,2.425958073451448,4952
10,MANAPPURAM,1.9204728604551569,5082
11,HINDALCO,3.0888513260186037,6366
12,TATASTEEL,7.704404249018411,6435
13,JINDALSTEL,2.922948680449092,5829
14,RCOM,0.5872656810750557,3019
15,HDIL,1.4288811348157922,5053
16,L_TFH,2.3738449022787678,6430
17,NMDC,1.665152797767438,4588
18,ADANIPOWER,0.7158682222998052,3390
19,HCC,0.6852563121378118,3047
20,ICICIBANK,3.346232737133466,5804
21,SUNTV,14.128021607371435,6012
22,RELINFRA,6.37386652655188,6675
23,PNB,2.461237354923462,5488
24,JSWSTEEL,3.252199303849096,6015
25,APOLLOTYRE,3.5009292454456142,5899
26,MOTHERSUMI,4.335907214673253,6297
27,RECLTD,3.11792906504976,5776
28,ONGC,1.5349097012808712,3743
29,RPOWER,0.4227384651416921,2908
30,IDEA,2.3840637725074076,4241
31,JSWENERGY,1.0809802911291528,4212
32,IFCI,0.4277826798919,1960
33,DHFL,6.0825105664678425,7773
34,TV18BRDCST,0.6170363391703046,3067
35,CANBK,5.054325224743474,6013
36,BANKINDIA,2.593578270184955,5691
37,ORIENTBANK,2.2737566389446466,5552
38,PFC,1.965652778536409,5411
39,EXIDEIND,2.777405230079121,5027
40,NCC,1.289504523714951,4171
41,KTKBANK,2.2978168899973554,5370
42,BHARATFIN,15.637356304731345,6393
43,M_MFIN,6.752997347668358,6008
44,GRASIM,14.626807314298834,6786
45,NATIONALUM,1.3507544181112239,4014
46,AXISBANK,5.930932963121371,5649
47,UNIONBANK,2.676400681768394,5534
48,AUROPHARMA,10.086792219140973,5776
49,INFIBEAM,23.040131674996868,5735
50,BEL,7.7592490530071965,5629
51,FORTIS,3.325291395683197,4608
52,ALBK,1.1263683106601245,4479
53,HINDPETRO,7.710834973835355,6447
54,MRPL,2.2704127183360736,5166
55,TATAPOWER,0.8294617240742774,3360
56,PTC,1.540683481559755,5626
57,NHPC,0.39023244409167157,1952
58,NTPC,1.385959412898849,4650
59,IOC,5.7626752174795906,5876
60,BPCL,9.34511153047912,5855
61,INFY,9.325301466572176,5453
62,RELIANCE,21.196717147086993,5971
63,DISHTV,1.2407199984820372,4395
64,JUSTDIAL,10.402673759045452,5035
65,ITC,3.4357582740426404,5494
66,SYNDIBANK,1.1559343357037777,4148
67,TATAMTRDVR,2.983171688179574,4800
68,CESC,11.666562038186044,6679
69,GAIL,4.982884301231909,5905
70,JISLJALEQS,1.5344474967413293,4795
71,COALINDIA,2.8385640900992724,4037
72,PCJEWELLER,9.164693947276346,5650
73,ANDHRABANK,0.8465554115347512,3582
74,CGPOWER,3.711898190866338,3278
75,POWERGRID,1.7528039679606735,5534
76,GSFC,2.518077657688367,5424
77,AMBUJACEM,2.8286819961281444,5775
78,ADANIPORTS,4.662262834929127,6569
79,SREINFRA,2.201590941882344,5535
80,EQUITAS,2.715278470685771,4826
81,IRB,3.1657918455596135,5331
82,DCBBANK,2.685016845792214,6008
83,YESBANK,20.961423330246493,6812
84,TVSMOTOR,6.000960990246585,6652
85,RDEL,1.0062811325347105,3744
86,KOTAKBANK,7.475447467012163,7001
87,SRTRANSFIN,14.213699216976098,5619
88,UJJIVAN,7.398015524317951,4980
89,PETRONET,4.68205907134157,5520
90,BALRAMCHIN,2.4051626674488213,5270
91,BHARTIARTL,4.639123357837036,5909
92,HDFCBANK,11.37753651838769,7403
